"gbifid"	"datasetkey"	"occurrenceid"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"infraspecificepithet"	"taxonrank"	"scientificname"	"countrycode"	"locality"	"publishingorgkey"	"decimallatitude"	"decimallongitude"	"coordinateuncertaintyinmeters"	"coordinateprecision"	"elevation"	"elevationaccuracy"	"depth"	"depthaccuracy"	"eventdate"	"day"	"month"	"year"	"taxonkey"	"specieskey"	"basisofrecord"	"institutioncode"	"collectioncode"	"catalognumber"	"recordnumber"	"identifiedby"	"license"	"rightsholder"	"recordedby"	"typestatus"	"establishmentmeans"	"lastinterpreted"	"mediatype"	"issue"
1586923843	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/7234964"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium amorphum"	NA	"SPECIES"	"Polypodium amorphum Suksdorf"	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	46.76608	-121.6339	NA	NA	NA	NA	NA	NA	2016-07-15 05:43:00	15	7	2016	5274973	5274973	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"7234964"	NA	NA	"CC_BY_NC_4_0"	"Susan"	"Susan"	NA	NA	2017-08-24 20:39:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84"
1319079791	"821cc27a-e3bb-4bc5-ac34-89ada245069d"	"http://n2t.net/ark:/65665/35309fa1f-3be3-49ad-84ec-62800e803030"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium amorphum"	NA	"SPECIES"	"Polypodium amorphum Suksdorf"	"CA"	"Vancouver Island, near Mt. Joan, Beaufort Range."	"bc092ff0-02e4-11dc-991f-b8a03c50a862"	49.42	-124.92	NA	NA	914	NA	NA	NA	1961-08-10 01:00:00	10	8	1961	5274973	5274973	"PRESERVED_SPECIMEN"	"US"	"Botany"	"2994638"	"32364"	NA	"CC0_1_0"	NA	"J. A. Calder & K. T. Mackay"	NA	NA	2017-06-03 02:39:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84"
1318563371	"821cc27a-e3bb-4bc5-ac34-89ada245069d"	"http://n2t.net/ark:/65665/33c2ee9d5-d9a3-44f8-8cf4-d4cff80af15e"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium amorphum"	NA	"SPECIES"	"Polypodium amorphum Suksdorf"	"CA"	"On a steep, southeast-facing slope above the Frasier River, to the E. side of Rt. 1, in a powerline right-of-way & just above a railroad and the river, 9.6 mi S. of the bridge over the Frasier River and around 2 air miles NE of Yale."	"bc092ff0-02e4-11dc-991f-b8a03c50a862"	49.5799	-121.402	NA	NA	76	NA	NA	NA	2005-06-20 02:00:00	20	6	2005	5274973	5274973	"PRESERVED_SPECIMEN"	"US"	"Botany"	"3585269"	"3375"	NA	"CC0_1_0"	NA	"D. Goldman"	NA	NA	2017-06-03 02:21:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84"
1227775827	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"http://www.inaturalist.org/observations/736487"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium amorphum"	NA	"SPECIES"	"Polypodium amorphum Suksdorf"	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	47.86604	-123.048849	NA	NA	NA	NA	NA	NA	2014-06-07 12:47:00	7	6	2014	5274973	5274973	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"736487"	NA	NA	"CC_BY_NC_4_0"	"John Brew"	"John Brew"	NA	NA	2017-07-05 10:49:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84"
1227736608	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"http://www.inaturalist.org/observations/2437223"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium amorphum"	NA	"SPECIES"	"Polypodium amorphum Suksdorf"	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	46.879966	-121.726909	14855	NA	NA	NA	NA	NA	2015-07-01 02:00:00	1	7	2015	5274973	5274973	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"2437223"	NA	NA	"CC_BY_NC_4_0"	"Tichomír Dunlop"	"Tichomír Dunlop"	NA	NA	2017-07-05 10:30:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84"
1098112884	"d415c253-4d61-4459-9d25-4015b9084fb0"	"c700ba1e-6946-416a-9a79-87aa7101191d"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium amorphum"	NA	"SPECIES"	"Polypodium amorphum Suksdorf"	"US"	"In Dog Creek canyon near Cooks, Columbia River."	"ae447c50-b8a8-11d8-92a4-b8a03c50a862"	47.30778	-120.08167	NA	NA	NA	NA	NA	NA	1924-05-12 01:00:00	12	5	1924	5274973	5274973	"PRESERVED_SPECIMEN"	"NY"	NA	"144818"	"11667"	NA	"CC0_1_0"	"The New York Botanical Garden"	"W. N. Suksdorf"	"ISOTYPE"	NA	2017-02-19 14:41:00	NA	"MULTIMEDIA_URI_INVALID;GEODETIC_DATUM_ASSUMED_WGS84"
1065573594	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"http://www.inaturalist.org/observations/291044"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium amorphum"	NA	"SPECIES"	"Polypodium amorphum Suksdorf"	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	47.853995	-123.059434	NA	NA	NA	NA	NA	NA	2013-06-02 15:22:00	2	6	2013	5274973	5274973	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"291044"	NA	NA	"CC_BY_NC_4_0"	"John Brew"	"John Brew"	NA	NA	2017-07-05 10:32:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84"
1024640696	"0348540a-e644-4496-89d3-c257da9ad776"	"193182"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium amorphum"	NA	"SPECIES"	"Polypodium amorphum Suksdorf"	"CA"	"Fraser River, where natural gas pipeline crosses river, along Route 7, 4 km west of junction of Route 1 in Hope"	"ff7bd5db-b724-4932-b496-10ea298851f9"	49.366667	-121.516667	NA	NA	NA	NA	NA	NA	1995-04-29 02:00:00	29	4	1995	5274973	5274973	"PRESERVED_SPECIMEN"	"Université de Montréal Biodiversity Centre"	"MT"	"MT00193182"	"8383"	"Martineau, Pierre"	"CC0_1_0"	"Université de Montréal Biodiversity Centre"	"Straley, Gerald B."	NA	NA	2017-08-16 19:26:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED;IDENTIFIED_DATE_UNLIKELY"
1024229222	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"http://www.inaturalist.org/observations/885138"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium amorphum"	NA	"SPECIES"	"Polypodium amorphum Suksdorf"	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	47.863679	-123.045158	NA	NA	NA	NA	NA	NA	2007-06-02 13:22:00	2	6	2007	5274973	5274973	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"885138"	NA	NA	"CC_BY_NC_4_0"	"John Brew"	"John Brew"	NA	NA	2017-07-05 10:49:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84"
918955353	"07fd0d79-4883-435f-bba1-58fef110cd13"	"151535"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium amorphum"	NA	"SPECIES"	"Polypodium amorphum Suksdorf"	"CA"	"Fraser Valley, Sumas Mount summit, below viewpoint near tower"	"b542788f-0dc2-4a2b-b652-fceced449591"	49.120556	-122.127222	NA	NA	NA	NA	NA	NA	2002-07-10 02:00:00	10	7	2002	5274973	5274973	"PRESERVED_SPECIMEN"	"University of British Columbia"	"UBC"	"V230753"	"4430"	"Chris Sears"	"CC0_1_0"	"University of British Columbia"	"Frank Lomer"	NA	NA	2017-08-30 23:25:00	NA	"GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_UNLIKELY"
