gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1699392277	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8647184	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.642845	-68.247347							2017-08-02T17:38Z	2	8	2017	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	8647184			CC_BY_NC_4_0	Erika Mitchell	Erika Mitchell			2017-11-06T21:39Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1658342367	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1369764	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US	Washington Co. Steubem Eagle Hill Institute, west side of Dyer Bay, on forested slopes along the coast, mid-portion of Blue Trail	838537fc-4aeb-4980-8b58-97fbdcd1d91a	44.574167	-68.129722			70.0				2013-08-22T02:00Z	22	8	2013	5274954	5274954	PRESERVED_SPECIMEN	JBRJ	RB	RB01369764	2347	F.B. Matos	CC_BY_4_0	Rio de Janeiro Botanical Garden	F.B. Matos			2017-11-13T18:01Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1621804499	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/7639760	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.665458	-72.829917							2017-07-11T11:18Z	11	7	2017	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	7639760			CC_BY_NC_4_0	Erika Mitchell	Erika Mitchell			2017-09-08T10:23Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1586111456	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/7281852	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.664961	-81.197299	27739.0						2017-07-29T15:55Z	29	7	2017	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	7281852			CC_BY_NC_4_0	Rob Curtis	Rob Curtis			2017-11-02T02:27Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1586100631	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/7181196	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.39059	-74.968815	118.0						2017-07-18T15:17Z	18	7	2017	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	7181196			CC_BY_NC_4_0	Sara Rall	Sara Rall			2017-08-16T18:48Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1586100630	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/7181195	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.39059	-74.968815	118.0						2017-07-18T15:17Z	18	7	2017	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	7181195			CC_BY_NC_4_0	Sara Rall	Sara Rall			2017-08-16T18:48Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1580510315	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/7111955	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.333835	-72.256105							2017-07-02T17:32Z	2	7	2017	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	7111955			CC_BY_NC_4_0	Erika Mitchell	Erika Mitchell			2017-07-27T16:23Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84
1580494709	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://inaturalist.ca/observations/7059995	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	CA		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.516023	-65.380926	27301.0						2017-07-15T08:34Z	15	7	2017	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	7059995			CC_BY_NC_4_0	Neil Vinson	Neil Vinson			2017-07-27T16:22Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1572394079	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/7018898	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	35.738255	-83.115319							2017-07-11T12:22Z	11	7	2017	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	7018898			CC_BY_NC_4_0	Milo Pyne	Milo Pyne			2017-07-15T19:07Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1571116147	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6573548	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.795923	-72.175359	7.0						2017-06-10T11:47Z	10	6	2017	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	6573548			CC_BY_NC_4_0	amelanchier	amelanchier			2017-07-05T10:45Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1563421525	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6363177	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.621818	-79.843195							2017-05-20T13:10Z	20	5	2017	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	6363177			CC_BY_NC_4_0	Rob Curtis	Rob Curtis			2017-11-02T02:22Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1562968956	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6312896	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.605934	-71.332497							2017-05-21T12:36Z	21	5	2017	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	6312896			CC_BY_NC_4_0	Samuel Brinker	Samuel Brinker			2017-07-05T10:43Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1503239294	af1b4db0-c8ce-4a95-b700-8a6a02bed9d6	urn:catalog:USF:Herb:228361	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US	N side Nelson Ridge Road; 1 mi. from hard top.	253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9													5274954	5274954	PRESERVED_SPECIMEN	USF	Herb	228361	632		CC_BY_4_0		J. H. Scudder			2017-11-03T13:36Z	STILLIMAGE	
1500148142	9f747cff-839f-4485-83a1-f10317a92a82	26a2acea-3224-4f64-bd30-b7961a01eb08	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham			7b8aff00-a9f8-11d8-944b-b8a03c50a862									1997-08-07T02:00Z	7	8	1997	5274954	5274954	PRESERVED_SPECIMEN	F	Botany	C0605609F			CC0_1_0	The Field Museum of Natural History				2017-05-05T22:17Z	STILLIMAGE	
1453248067	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/4651865	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.298889	-78.647224							2016-11-25T13:47Z	25	11	2016	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	4651865			CC_BY_NC_4_0	Fred Losi	Fred Losi			2017-07-05T10:37Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453140218	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/4343957	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	35.817796	-82.18679	87.0						2016-10-13T13:09Z	13	10	2016	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	4343957			CC_BY_NC_4_0	Tal Galton	Tal Galton			2017-07-05T10:36Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453139589	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://inaturalist.ca/observations/4342305	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	CA		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.861565	-60.671979	26919.0						2016-10-13T12:53Z	13	10	2016	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	4342305			CC_BY_NC_4_0	Clayton D'Orsay	Clayton D'Orsay			2017-07-05T10:36Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453135615	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/4329924	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.692025	-73.543167	977.0						2016-10-03T11:54Z	3	10	2016	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	4329924			CC_BY_NC_4_0	jimmalefyt	jimmalefyt			2017-07-05T10:36Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453099317	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/3756857	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.096931	-81.830917							2016-07-28T01:20Z	27	7	2016	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	3756857			CC_BY_NC_4_0	Torsten Eriksson	Torsten Eriksson			2017-07-05T10:34Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453049364	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1116602	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.305816	-72.275395	300.0						2012-09-30T13:10Z	30	9	2012	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	1116602			CC_BY_NC_4_0	Erika Mitchell	Erika Mitchell			2017-07-05T10:27Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84
1417515555	0348540a-e644-4496-89d3-c257da9ad776	45894	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	CA	bord du lac Croche; Station de Biologie des Laurentides, Université de Montréal	ff7bd5db-b724-4932-b496-10ea298851f9	45.9925	-74.0084	500.0						1977-08-31T01:00Z	31	8	1977	5274954	5274954	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	MT		sn	Hall, Geoffrey	CC0_1_0	Université de Montréal Biodiversity Centre	Sainte-Marie, Anne A.			2017-08-16T19:26Z	STILLIMAGE	IDENTIFIED_DATE_UNLIKELY
1417512725	0348540a-e644-4496-89d3-c257da9ad776	212511	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	CA	Lac à la Perchaude	ff7bd5db-b724-4932-b496-10ea298851f9	46.65	-72.866667							1997-09-13T02:00Z	13	9	1997	5274954	5274954	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	MT	MT00212511	116-B	Martineau, Pierre	CC0_1_0	Université de Montréal Biodiversity Centre	Lagacé, Jean			2017-08-16T19:26Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED;IDENTIFIED_DATE_UNLIKELY
1323029713	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/4267244	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium appalachianum		SPECIES	Polypodium appalachianum Haufler & Windham	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.859553	-71.699688							2016-10-03T11:48Z	3	10	2016	5274954	5274954	HUMAN_OBSERVATION	iNaturalist	Observations	4267244			CC_BY_NC_4_0	Ken Kellman	Ken Kellman			2017-07-05T10:35Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
