"gbifid"	"datasetkey"	"occurrenceid"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"infraspecificepithet"	"taxonrank"	"scientificname"	"countrycode"	"locality"	"publishingorgkey"	"decimallatitude"	"decimallongitude"	"coordinateuncertaintyinmeters"	"coordinateprecision"	"elevation"	"elevationaccuracy"	"depth"	"depthaccuracy"	"eventdate"	"day"	"month"	"year"	"taxonkey"	"specieskey"	"basisofrecord"	"institutioncode"	"collectioncode"	"catalognumber"	"recordnumber"	"identifiedby"	"license"	"rightsholder"	"recordedby"	"typestatus"	"establishmentmeans"	"lastinterpreted"	"mediatype"	"issue"
1699392277	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/8647184"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium appalachianum"	NA	"SPECIES"	"Polypodium appalachianum Haufler & Windham"	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	44.642845	-68.247347	NA	NA	NA	NA	NA	NA	2017-08-02 17:38:00	2	8	2017	5274954	5274954	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"8647184"	NA	NA	"CC_BY_NC_4_0"	"Erika Mitchell"	"Erika Mitchell"	NA	NA	2017-11-06 21:39:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1658342367	"4300f8d5-1ae5-49e5-a101-63894b005868"	"urn:catalog:JBRJ:RB:1369764"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium appalachianum"	NA	"SPECIES"	"Polypodium appalachianum Haufler & Windham"	"US"	"Washington Co. Steubem Eagle Hill Institute, west side of Dyer Bay, on forested slopes along the coast, mid-portion of Blue Trail"	"838537fc-4aeb-4980-8b58-97fbdcd1d91a"	44.574167	-68.129722	NA	NA	70	NA	NA	NA	2013-08-22 02:00:00	22	8	2013	5274954	5274954	"PRESERVED_SPECIMEN"	"JBRJ"	"RB"	"RB01369764"	"2347"	"F.B. Matos"	"CC_BY_4_0"	"Rio de Janeiro Botanical Garden"	"F.B. Matos"	NA	NA	2017-11-13 18:01:00	NA	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1621804499	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/7639760"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium appalachianum"	NA	"SPECIES"	"Polypodium appalachianum Haufler & Windham"	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	43.665458	-72.829917	NA	NA	NA	NA	NA	NA	2017-07-11 11:18:00	11	7	2017	5274954	5274954	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"7639760"	NA	NA	"CC_BY_NC_4_0"	"Erika Mitchell"	"Erika Mitchell"	NA	NA	2017-09-08 10:23:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1586111456	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/7281852"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium appalachianum"	NA	"SPECIES"	"Polypodium appalachianum Haufler & Windham"	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	41.664961	-81.197299	27739	NA	NA	NA	NA	NA	2017-07-29 15:55:00	29	7	2017	5274954	5274954	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"7281852"	NA	NA	"CC_BY_NC_4_0"	"Rob Curtis"	"Rob Curtis"	NA	NA	2017-11-02 02:27:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1586100631	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/7181196"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium appalachianum"	NA	"SPECIES"	"Polypodium appalachianum Haufler & Windham"	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	41.39059	-74.968815	118	NA	NA	NA	NA	NA	2017-07-18 15:17:00	18	7	2017	5274954	5274954	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"7181196"	NA	NA	"CC_BY_NC_4_0"	"Sara Rall"	"Sara Rall"	NA	NA	2017-08-16 18:48:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1586100630	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/7181195"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium appalachianum"	NA	"SPECIES"	"Polypodium appalachianum Haufler & Windham"	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	41.39059	-74.968815	118	NA	NA	NA	NA	NA	2017-07-18 15:17:00	18	7	2017	5274954	5274954	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"7181195"	NA	NA	"CC_BY_NC_4_0"	"Sara Rall"	"Sara Rall"	NA	NA	2017-08-16 18:48:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1580510315	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/7111955"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium appalachianum"	NA	"SPECIES"	"Polypodium appalachianum Haufler & Windham"	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	44.333835	-72.256105	NA	NA	NA	NA	NA	NA	2017-07-02 17:32:00	2	7	2017	5274954	5274954	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"7111955"	NA	NA	"CC_BY_NC_4_0"	"Erika Mitchell"	"Erika Mitchell"	NA	NA	2017-07-27 16:23:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84"
1580494709	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"http://inaturalist.ca/observations/7059995"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium appalachianum"	NA	"SPECIES"	"Polypodium appalachianum Haufler & Windham"	"CA"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	44.516023	-65.380926	27301	NA	NA	NA	NA	NA	2017-07-15 08:34:00	15	7	2017	5274954	5274954	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"7059995"	NA	NA	"CC_BY_NC_4_0"	"Neil Vinson"	"Neil Vinson"	NA	NA	2017-07-27 16:22:00	NA	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1572394079	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/7018898"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium appalachianum"	NA	"SPECIES"	"Polypodium appalachianum Haufler & Windham"	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	35.738255	-83.115319	NA	NA	NA	NA	NA	NA	2017-07-11 12:22:00	11	7	2017	5274954	5274954	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"7018898"	NA	NA	"CC_BY_NC_4_0"	"Milo Pyne"	"Milo Pyne"	NA	NA	2017-07-15 19:07:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1571116147	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/6573548"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium appalachianum"	NA	"SPECIES"	"Polypodium appalachianum Haufler & Windham"	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	43.795923	-72.175359	7	NA	NA	NA	NA	NA	2017-06-10 11:47:00	10	6	2017	5274954	5274954	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"6573548"	NA	NA	"CC_BY_NC_4_0"	"amelanchier"	"amelanchier"	NA	NA	2017-07-05 10:45:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
