gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1699362081	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5051696	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.096047	-118.729508							2017-01-30T18:32Z	30	1	2017	5274962	5274962	HUMAN_OBSERVATION	iNaturalist	Observations	5051696			CC_BY_NC_4_0	Stephanie Calloway	Stephanie Calloway			2017-11-06T21:33Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1677307858	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8425974	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	MX		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.000249	-98.107932	31.0						2015-09-01T13:25Z	1	9	2015	5274962	5274962	HUMAN_OBSERVATION	iNaturalist	Observations	8425974			CC_BY_NC_4_0	luisfuentes	luisfuentes			2017-11-02T02:34Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1676217834	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?SBBG132076&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	Middle Ranch Cyn, just downstream from cement dam	fb702600-a84e-11de-978d-b8a03c50a862									1991-04-25T02:00Z	25	4	1991	5274962	5274962	PRESERVED_SPECIMEN	SBBG	VascularPlants	SBBG132076	SCI 215		CC_BY_NC_4_0		S. A. Junak, B. Collins			2017-10-29T02:10Z		
1676214689	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	fe14f2f9-0918-44c7-882f-532fec665275	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	Southern foothills of San Luis Range. Wild Cherry Ranch W of Avila Beach. Survey area 10	fb702600-a84e-11de-978d-b8a03c50a862	35.186791	-120.76844											5274962	5274962	PRESERVED_SPECIMEN	OBI	VascularPlants	OBI83651	33846		CC_BY_NC_4_0		David J. Keil, Travis Barrett			2017-10-29T02:06Z		RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
1676214496	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	fcad9d15-6db6-483c-a875-05dd87dfdec5	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	San Gabriel Mountains: Little Santa Anita Canyon, First Water, 1.7 miles up canyon from Mt. Wilson Trailhead, north of Sierra Madre.	fb702600-a84e-11de-978d-b8a03c50a862	34.18333	-118.04639							2011-11-03T01:00Z	3	11	2011	5274962	5274962	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA855663	15985		CC_BY_NC_4_0		R. G. Swinney			2017-10-29T02:06Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1676214353	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	fb7d7926-7cdf-44ed-a331-8a9ecceea1c3	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	growing in moist soil on steep road cut in Foothill Woodland ca. 2.5 mi from the Farm Center Farm Center - Robinson Canyon, Carmel Valley	fb702600-a84e-11de-978d-b8a03c50a862													5274962	5274962	PRESERVED_SPECIMEN	UCSC	VascularPlants	UCSC960	310		CC_BY_NC_4_0		D. J. Norman			2017-10-29T02:06Z		RECORDED_DATE_INVALID
1676214095	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	f99b0756-a7e8-40b8-8643-c58ff1f99082	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum	kaulfussii	VARIETY	Polypodium californicum var. kaulfussii D. C. Eat.	US	Southern Monterey county. growing on rocky cliffside in Coastal Sage Scrub at Rockland Landing Rockland Landing - Rockland Landing	fb702600-a84e-11de-978d-b8a03c50a862													7821703	5274962	PRESERVED_SPECIMEN	UCSC	VascularPlants	UCSC961	11		CC_BY_NC_4_0		Unknown			2017-10-29T02:05Z		RECORDED_DATE_INVALID
1676213732	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	f68cd3fa-4d99-48a0-837c-e880180faf81	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	Ft. Ord National Monument (Region I9, top of Wildcat Ridge)	fb702600-a84e-11de-978d-b8a03c50a862													5274962	5274962	PRESERVED_SPECIMEN	UCSC	VascularPlants	UCSC9498	743		CC_BY_NC_4_0		Unknown			2017-10-29T02:05Z		RECORDED_DATE_INVALID
1676213529	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	f501587b-77dc-4784-a563-83663d20b0b5	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	Eureka Canyon Eureka Canyon	fb702600-a84e-11de-978d-b8a03c50a862	37.03049094075865	-121.81976289025235	4550.0										5274962	5274962	PRESERVED_SPECIMEN	UCSC	VascularPlants	UCSC3936	s.n.		CC_BY_NC_4_0		Jerry Totten			2017-10-29T02:05Z		RECORDED_DATE_INVALID;COORDINATE_REPROJECTED
1676213330	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	f3760eb4-97f3-4d99-8303-8452c10ca946	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	Ano Nuevo State Park	fb702600-a84e-11de-978d-b8a03c50a862													5274962	5274962	PRESERVED_SPECIMEN	UCSC	VascularPlants	UCSC7770	s.n.		CC_BY_NC_4_0		Becky Hendricks, Shayne Coppedge			2017-10-29T02:05Z		RECORDED_DATE_INVALID
1676211389	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	e3b07ba2-dbc1-4ca3-855a-0f46f6ccadff	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	Colby Canyon, San Gabriel Mts, Mt Lowe -	fb702600-a84e-11de-978d-b8a03c50a862													5274962	5274962	PRESERVED_SPECIMEN	UCSC	VascularPlants	UCSC1089	453		CC_BY_NC_4_0		Peter Kamb			2017-10-29T02:04Z		RECORDED_DATE_INVALID
1676210570	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	dd033a3b-f61a-4b9c-9708-61e31b5adf66	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	Confluence of Big Creek and Boyer Creek, Swanton	fb702600-a84e-11de-978d-b8a03c50a862	37.09442	-122.20659	118.0										5274962	5274962	PRESERVED_SPECIMEN	UCSC	VascularPlants	UCSC7153	s.n.		CC_BY_NC_4_0		Randall Morgan			2017-10-29T02:04Z		RECORDED_DATE_INVALID
1676209019	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	d0a7645b-998d-4a31-9cf0-4d30eb4a63fa	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	confluence of West Fork San Gabriel River and Glen Canyon, at Glen Cyn. Campground & to 200 m up Glen Cyn.	fb702600-a84e-11de-978d-b8a03c50a862	34.24	-117.95278							2011-11-01T01:00Z	1	11	2011	5274962	5274962	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA845874	15936		CC_BY_NC_4_0		R. G. Swinney			2017-10-29T02:04Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1676208719	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	ce438407-f331-423a-af7c-b5ad6df69c1d	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	Fort Ord Plant Region: N7; Near Engineer Canyon Rd. jct. with Old Reservation Rd	fb702600-a84e-11de-978d-b8a03c50a862									2008-02-05T01:00Z	5	2	2008	5274962	5274962	PRESERVED_SPECIMEN	UCSC	VascularPlants	UCSC11088	14		CC_BY_NC_4_0		D. Styer, P. Smith			2017-10-29T02:04Z		
1676208387	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	cb9b022c-495a-48e5-94d7-da6ba3234bbd	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	The Forest of Nisene Marks, Aptos, California. 150ft. from roads end near trail head in the lower central portion of Hinkley Basin. in the lower central portion of Hinkley Basin. - The Forest of Nisene Marks, Aptos, California.	fb702600-a84e-11de-978d-b8a03c50a862	37.06346	-121.91425	539.0										5274962	5274962	PRESERVED_SPECIMEN	UCSC	VascularPlants	UCSC3296	16		CC_BY_NC_4_0		Unknown			2017-10-29T02:03Z		RECORDED_DATE_INVALID
1676207479	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	c42ebb1e-d05e-441d-a214-8b899154da59	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	Santa Cruz, Upper Campus, University of California, Santa Cruz	fb702600-a84e-11de-978d-b8a03c50a862	37.002222	-122.061944											5274962	5274962	PRESERVED_SPECIMEN	UCSC	VascularPlants	UCSC8128	s.n.		CC_BY_NC_4_0		Megan Bontrager			2017-10-29T02:03Z		RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1676207456	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	c3edff2a-111e-49b0-80ee-c2fdcd9f910b	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	Glendora, north of Mull Canyon debris basin	fb702600-a84e-11de-978d-b8a03c50a862	34.14528	-117.82417							2011-03-17T01:00Z	17	3	2011	5274962	5274962	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA845881	14127		CC_BY_NC_4_0		R. G. Swinney			2017-10-29T02:03Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1676204826	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	aef0df8e-1fff-4867-ad87-c24de0404e90	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium californicum		SPECIES	Polypodium californicum Kaulf.	US	Fall Creek State Park, found on shaded hillside, growing on a redwood stump. Above tributary of South Fall Creek. Fall Creek State Park	fb702600-a84e-11de-978d-b8a03c50a862	37.05888	-122.10282	920.0										5274962	5274962	PRESERVED_SPECIMEN	UCSC	VascularPlants	UCSC3294	s.n.		CC_BY_NC_4_0		Unknown			2017-10-29T02:02Z		RECORDED_DATE_INVALID
