"gbifid"	"datasetkey"	"occurrenceid"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"infraspecificepithet"	"taxonrank"	"scientificname"	"countrycode"	"locality"	"publishingorgkey"	"decimallatitude"	"decimallongitude"	"coordinateuncertaintyinmeters"	"coordinateprecision"	"elevation"	"elevationaccuracy"	"depth"	"depthaccuracy"	"eventdate"	"day"	"month"	"year"	"taxonkey"	"specieskey"	"basisofrecord"	"institutioncode"	"collectioncode"	"catalognumber"	"recordnumber"	"identifiedby"	"license"	"rightsholder"	"recordedby"	"typestatus"	"establishmentmeans"	"lastinterpreted"	"mediatype"	"issue"
1699362081	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/5051696"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	34.096047	-118.729508	NA	NA	NA	NA	NA	NA	2017-01-30 18:32:00	30	1	2017	5274962	5274962	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"5051696"	NA	NA	"CC_BY_NC_4_0"	"Stephanie Calloway"	"Stephanie Calloway"	NA	NA	2017-11-06 21:33:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1677307858	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/8425974"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"MX"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	19.000249	-98.107932	31	NA	NA	NA	NA	NA	2015-09-01 13:25:00	1	9	2015	5274962	5274962	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"8425974"	NA	NA	"CC_BY_NC_4_0"	"luisfuentes"	"luisfuentes"	NA	NA	2017-11-02 02:34:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1676214689	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"fe14f2f9-0918-44c7-882f-532fec665275"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"US"	"Southern foothills of San Luis Range. Wild Cherry Ranch W of Avila Beach. Survey area 10"	"fb702600-a84e-11de-978d-b8a03c50a862"	35.186791	-120.76844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5274962	5274962	"PRESERVED_SPECIMEN"	"OBI"	"VascularPlants"	"OBI83651"	"33846"	NA	"CC_BY_NC_4_0"	NA	"David J. Keil, Travis Barrett"	NA	NA	2017-10-29 02:06:00	NA	"RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84"
1676214496	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"fcad9d15-6db6-483c-a875-05dd87dfdec5"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"US"	"San Gabriel Mountains: Little Santa Anita Canyon, First Water, 1.7 miles up canyon from Mt. Wilson Trailhead, north of Sierra Madre."	"fb702600-a84e-11de-978d-b8a03c50a862"	34.18333	-118.04639	NA	NA	NA	NA	NA	NA	2011-11-03 01:00:00	3	11	2011	5274962	5274962	"PRESERVED_SPECIMEN"	"RSA"	"VascularPlants"	"RSA855663"	"15985"	NA	"CC_BY_NC_4_0"	NA	"R. G. Swinney"	NA	NA	2017-10-29 02:06:00	NA	"GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
1676213529	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"f501587b-77dc-4784-a563-83663d20b0b5"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"US"	"Eureka Canyon Eureka Canyon"	"fb702600-a84e-11de-978d-b8a03c50a862"	37.0304909407587	-121.819762890252	4550	NA	NA	NA	NA	NA	NA	NA	NA	NA	5274962	5274962	"PRESERVED_SPECIMEN"	"UCSC"	"VascularPlants"	"UCSC3936"	"s.n."	NA	"CC_BY_NC_4_0"	NA	"Jerry Totten"	NA	NA	2017-10-29 02:05:00	NA	"RECORDED_DATE_INVALID;COORDINATE_REPROJECTED"
1676210570	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"dd033a3b-f61a-4b9c-9708-61e31b5adf66"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"US"	"Confluence of Big Creek and Boyer Creek, Swanton"	"fb702600-a84e-11de-978d-b8a03c50a862"	37.09442	-122.20659	118	NA	NA	NA	NA	NA	NA	NA	NA	NA	5274962	5274962	"PRESERVED_SPECIMEN"	"UCSC"	"VascularPlants"	"UCSC7153"	"s.n."	NA	"CC_BY_NC_4_0"	NA	"Randall Morgan"	NA	NA	2017-10-29 02:04:00	NA	"RECORDED_DATE_INVALID"
1676209019	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"d0a7645b-998d-4a31-9cf0-4d30eb4a63fa"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"US"	"confluence of West Fork San Gabriel River and Glen Canyon, at Glen Cyn. Campground & to 200 m up Glen Cyn."	"fb702600-a84e-11de-978d-b8a03c50a862"	34.24	-117.95278	NA	NA	NA	NA	NA	NA	2011-11-01 01:00:00	1	11	2011	5274962	5274962	"PRESERVED_SPECIMEN"	"RSA"	"VascularPlants"	"RSA845874"	"15936"	NA	"CC_BY_NC_4_0"	NA	"R. G. Swinney"	NA	NA	2017-10-29 02:04:00	NA	"GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
1676208387	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"cb9b022c-495a-48e5-94d7-da6ba3234bbd"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"US"	"The Forest of Nisene Marks, Aptos, California. 150ft. from roads end near trail head in the lower central portion of Hinkley Basin. in the lower central portion of Hinkley Basin. - The Forest of Nisene Marks, Aptos, California."	"fb702600-a84e-11de-978d-b8a03c50a862"	37.06346	-121.91425	539	NA	NA	NA	NA	NA	NA	NA	NA	NA	5274962	5274962	"PRESERVED_SPECIMEN"	"UCSC"	"VascularPlants"	"UCSC3296"	"16"	NA	"CC_BY_NC_4_0"	NA	"Unknown"	NA	NA	2017-10-29 02:03:00	NA	"RECORDED_DATE_INVALID"
1676207479	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"c42ebb1e-d05e-441d-a214-8b899154da59"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"US"	"Santa Cruz, Upper Campus, University of California, Santa Cruz"	"fb702600-a84e-11de-978d-b8a03c50a862"	37.002222	-122.061944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5274962	5274962	"PRESERVED_SPECIMEN"	"UCSC"	"VascularPlants"	"UCSC8128"	"s.n."	NA	"CC_BY_NC_4_0"	NA	"Megan Bontrager"	NA	NA	2017-10-29 02:03:00	NA	"RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
1676207456	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"c3edff2a-111e-49b0-80ee-c2fdcd9f910b"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"US"	"Glendora, north of Mull Canyon debris basin"	"fb702600-a84e-11de-978d-b8a03c50a862"	34.14528	-117.82417	NA	NA	NA	NA	NA	NA	2011-03-17 01:00:00	17	3	2011	5274962	5274962	"PRESERVED_SPECIMEN"	"RSA"	"VascularPlants"	"RSA845881"	"14127"	NA	"CC_BY_NC_4_0"	NA	"R. G. Swinney"	NA	NA	2017-10-29 02:03:00	NA	"GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
1676204826	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"aef0df8e-1fff-4867-ad87-c24de0404e90"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"US"	"Fall Creek State Park, found on shaded hillside, growing on a redwood stump. Above tributary of South Fall Creek. Fall Creek State Park"	"fb702600-a84e-11de-978d-b8a03c50a862"	37.05888	-122.10282	920	NA	NA	NA	NA	NA	NA	NA	NA	NA	5274962	5274962	"PRESERVED_SPECIMEN"	"UCSC"	"VascularPlants"	"UCSC3294"	"s.n."	NA	"CC_BY_NC_4_0"	NA	"Unknown"	NA	NA	2017-10-29 02:02:00	NA	"RECORDED_DATE_INVALID"
1676204184	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"a9e467e7-c39a-467a-b2bd-0dffea76dff2"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"US"	"mouth of Keril Canyon, tributary from east of Big Dalton Cyn., just below Big Dalton Cyn. Dam"	"fb702600-a84e-11de-978d-b8a03c50a862"	34.16889	-117.80861	NA	NA	NA	NA	NA	NA	2011-03-22 01:00:00	22	3	2011	5274962	5274962	"PRESERVED_SPECIMEN"	"RSA"	"VascularPlants"	"RSA845127"	"14195"	NA	"CC_BY_NC_4_0"	NA	"R. G. Swinney"	NA	NA	2017-10-29 02:02:00	NA	"GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
1676200251	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"89b43463-21d6-4eef-9dd4-0f732b82f9f5"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"US"	"Vicinity of mouth of San Carpoforo Creek west of Highway 1, on cliff above beach south of creek mouth and lagoon"	"fb702600-a84e-11de-978d-b8a03c50a862"	35.763776	-121.324018	NA	NA	NA	NA	NA	NA	2016-05-21 02:00:00	21	5	2016	5274962	5274962	"PRESERVED_SPECIMEN"	"OBI"	"VascularPlants"	"OBI83612"	"34228"	NA	"CC_BY_NC_4_0"	NA	"David J. Keil"	NA	NA	2017-10-29 02:00:00	NA	"GEODETIC_DATUM_ASSUMED_WGS84"
1676200032	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"87ff2ebf-26f8-407f-bb57-05f60a028748"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"US"	"Fall Creek State Park, found on shaded hillside, growing on a redwood stump. Above tributary of South Fall Creek. Fall Creek State Park"	"fb702600-a84e-11de-978d-b8a03c50a862"	37.05888	-122.10282	920	NA	NA	NA	NA	NA	NA	NA	NA	NA	5274962	5274962	"PRESERVED_SPECIMEN"	"UCSC"	"VascularPlants"	"UCSC3292"	"50"	NA	"CC_BY_NC_4_0"	NA	"Unknown"	NA	NA	2017-10-29 02:00:00	NA	"RECORDED_DATE_INVALID"
1676198774	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"7de10061-fd18-4f9b-8034-c886ea9e0729"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium californicum"	NA	"SPECIES"	"Polypodium californicum Kaulf."	"US"	"The Forest of Nisene Marks, Aptos, California. 150ft. from roads end near trail head in the lower central portion of Hinkley Basin. in the lower central portion of Hinkley Basin. - The Forest of Nisene Marks, Aptos, California."	"fb702600-a84e-11de-978d-b8a03c50a862"	37.06346	-121.91425	539	NA	NA	NA	NA	NA	NA	NA	NA	NA	5274962	5274962	"PRESERVED_SPECIMEN"	"UCSC"	"VascularPlants"	"UCSC3295"	"11"	NA	"CC_BY_NC_4_0"	NA	"Unknown"	NA	NA	2017-10-29 02:00:00	NA	"RECORDED_DATE_INVALID"
