gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1676218040	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?SBBG132574&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Lopez Cyn Rd in vicinity of Lopez Conference Center; Santa Lucia Mtns	fb702600-a84e-11de-978d-b8a03c50a862	35.23467	-120.47261	250.0						2010-06-05T02:00Z	5	6	2010	5274945	5274945	PRESERVED_SPECIMEN	SBBG	VascularPlants	SBBG132574	30857		CC_BY_NC_4_0		D. Keil			2017-10-29T02:10Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1676215842	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?HSC103989&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Arcata, Ma-le\'l Dunes	fb702600-a84e-11de-978d-b8a03c50a862									2015-04-11T02:00Z	11	4	2015	5274945	5274945	PRESERVED_SPECIMEN	HSC	VascularPlants	HSC103989	21		CC_BY_NC_4_0		M. F. Norman,			2017-10-29T02:08Z		
1676215746	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?HSC103916&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	About 9 mi. (air) NE of Chico; east edge of Big Chico Creek, ~100 yds. S of trail crossing creek, ~100 yds W of Ten Mile House Road; ~.75 mi. W of Hwy. 32	fb702600-a84e-11de-978d-b8a03c50a862	39.804972	-121.728139							2012-02-22T01:00Z	22	2	2012	5274945	5274945	PRESERVED_SPECIMEN	HSC	VascularPlants	HSC103916	17740		CC_BY_NC_4_0		L. Ahart,			2017-10-29T02:08Z		GEODETIC_DATUM_ASSUMED_WGS84
1676205757	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	b620f387-0347-4c9a-b3d3	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	On the east edge of Big Chico Creek, about 100 yards south of the trail crossing the creek, about 100 yards west of Ten Mile House Road, about 3/4 mile west of Highway 32, about 9 miles (air) northeast of Chico.	fb702600-a84e-11de-978d-b8a03c50a862	39.804972	-121.728139							2012-02-22T01:00Z	22	2	2012	5274945	5274945	PRESERVED_SPECIMEN	JEPS	VascularPlants	JEPS120173	17740		CC_BY_NC_4_0		Lowell Ahart			2017-10-29T02:03Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1676204883	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	af62ab15-0141-49a6-9204-7ca281992831	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Tejon Ranch: El Paso Canyon, about 0.5 mile above the Meadows Place.	fb702600-a84e-11de-978d-b8a03c50a862									1961-05-23T01:00Z	23	5	1961	5274945	5274945	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA840842	6162		CC_BY_NC_4_0		Ernest C. Twisselmann			2017-10-29T02:02Z		
1676203717	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	a5ef1dc1-eb42-48b5-9cea	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	On the south edge of Big Chico Creek, at Table 11, east of the Deer Pen, Lower Bidwell Park, Chico.	fb702600-a84e-11de-978d-b8a03c50a862	39.748583	-121.802028							2012-07-05T02:00Z	5	7	2012	5274945	5274945	PRESERVED_SPECIMEN	JEPS	VascularPlants	JEPS120176	18279		CC_BY_NC_4_0		Lowell Ahart			2017-10-29T02:02Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663238817	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?YM-YOSE67049&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza	intermedium	VARIETY	Polypodium vulgare var. intermedium (Hook. & Arn.) Fern.	US	2 MI E OF EL PORTAL WHERE PINOCHE CREEK DRAINS INTO MERCED RIVER	fb702600-a84e-11de-978d-b8a03c50a862									1944-06-27T02:00Z	27	6	1944	5274946	5274945	PRESERVED_SPECIMEN	YM-YOSE	VascularPlants	YM-YOSE67049	4685 A		CC_BY_NC_4_0		Carl W. Sharsmith			2017-10-05T12:21Z		
1663238801	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?YM-YOSE67050&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	FERN LEDGE AND RIBBON FALL (YOSEMITE VALLEY)	fb702600-a84e-11de-978d-b8a03c50a862									1924-01-19T01:00Z	19	1	1924	5274945	5274945	PRESERVED_SPECIMEN	YM-YOSE	VascularPlants	YM-YOSE67050	491		CC_BY_NC_4_0		Enid Michael			2017-10-05T12:21Z		
1663186246	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR250652&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Northern Sierra Nevada Mtns Foothills, Iowa Hill Road, 1.8 miles west of the bridge over North Fork American River, 0.6 mi. (airline) east of I-80 at Colfax	fb702600-a84e-11de-978d-b8a03c50a862	39.09556	-120.93917							2013-04-18T02:00Z	18	4	2013	5274945	5274945	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR250652	20372		CC_BY_NC_4_0		George K. Helmkamp, Mary Alice Barnes			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663185907	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR250342&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Northern Sierra Nevada Mtns Foothills, Yankee Jim Road, 2.4 miles east of its junction with Canyon Way, 2.5 mi. ENE (78 deg. ) of Weimar	fb702600-a84e-11de-978d-b8a03c50a862	39.04472	-120.92778							2013-04-18T02:00Z	18	4	2013	5274945	5274945	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR250342	20367		CC_BY_NC_4_0		George K. Helmkamp, Mary Alice Barnes			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
