"gbifid"	"datasetkey"	"occurrenceid"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"infraspecificepithet"	"taxonrank"	"scientificname"	"countrycode"	"locality"	"publishingorgkey"	"decimallatitude"	"decimallongitude"	"coordinateuncertaintyinmeters"	"coordinateprecision"	"elevation"	"elevationaccuracy"	"depth"	"depthaccuracy"	"eventdate"	"day"	"month"	"year"	"taxonkey"	"specieskey"	"basisofrecord"	"institutioncode"	"collectioncode"	"catalognumber"	"recordnumber"	"identifiedby"	"license"	"rightsholder"	"recordedby"	"typestatus"	"establishmentmeans"	"lastinterpreted"	"mediatype"	"issue"
1676218040	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?SBBG132574&related=yes"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium calirhiza"	NA	"SPECIES"	"Polypodium calirhiza S.A. Whitmore & A. R. Smith"	"US"	"Lopez Cyn Rd in vicinity of Lopez Conference Center; Santa Lucia Mtns"	"fb702600-a84e-11de-978d-b8a03c50a862"	35.23467	-120.47261	250	NA	NA	NA	NA	NA	2010-06-05 02:00:00	5	6	2010	5274945	5274945	"PRESERVED_SPECIMEN"	"SBBG"	"VascularPlants"	"SBBG132574"	"30857"	NA	"CC_BY_NC_4_0"	NA	"D. Keil"	NA	NA	2017-10-29 02:10:00	NA	"GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
1676215746	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?HSC103916&related=yes"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium calirhiza"	NA	"SPECIES"	"Polypodium calirhiza S.A. Whitmore & A. R. Smith"	"US"	"About 9 mi. (air) NE of Chico; east edge of Big Chico Creek, ~100 yds. S of trail crossing creek, ~100 yds W of Ten Mile House Road; ~.75 mi. W of Hwy. 32"	"fb702600-a84e-11de-978d-b8a03c50a862"	39.804972	-121.728139	NA	NA	NA	NA	NA	NA	2012-02-22 01:00:00	22	2	2012	5274945	5274945	"PRESERVED_SPECIMEN"	"HSC"	"VascularPlants"	"HSC103916"	"17740"	NA	"CC_BY_NC_4_0"	NA	"L. Ahart,"	NA	NA	2017-10-29 02:08:00	NA	"GEODETIC_DATUM_ASSUMED_WGS84"
1676205757	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"b620f387-0347-4c9a-b3d3"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium calirhiza"	NA	"SPECIES"	"Polypodium calirhiza S.A. Whitmore & A. R. Smith"	"US"	"On the east edge of Big Chico Creek, about 100 yards south of the trail crossing the creek, about 100 yards west of Ten Mile House Road, about 3/4 mile west of Highway 32, about 9 miles (air) northeast of Chico."	"fb702600-a84e-11de-978d-b8a03c50a862"	39.804972	-121.728139	NA	NA	NA	NA	NA	NA	2012-02-22 01:00:00	22	2	2012	5274945	5274945	"PRESERVED_SPECIMEN"	"JEPS"	"VascularPlants"	"JEPS120173"	"17740"	NA	"CC_BY_NC_4_0"	NA	"Lowell Ahart"	NA	NA	2017-10-29 02:03:00	NA	"GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
1676203717	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"a5ef1dc1-eb42-48b5-9cea"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium calirhiza"	NA	"SPECIES"	"Polypodium calirhiza S.A. Whitmore & A. R. Smith"	"US"	"On the south edge of Big Chico Creek, at Table 11, east of the Deer Pen, Lower Bidwell Park, Chico."	"fb702600-a84e-11de-978d-b8a03c50a862"	39.748583	-121.802028	NA	NA	NA	NA	NA	NA	2012-07-05 02:00:00	5	7	2012	5274945	5274945	"PRESERVED_SPECIMEN"	"JEPS"	"VascularPlants"	"JEPS120176"	"18279"	NA	"CC_BY_NC_4_0"	NA	"Lowell Ahart"	NA	NA	2017-10-29 02:02:00	NA	"GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
1663186246	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR250652&related=yes"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium calirhiza"	NA	"SPECIES"	"Polypodium calirhiza S.A. Whitmore & A. R. Smith"	"US"	"Northern Sierra Nevada Mtns Foothills, Iowa Hill Road, 1.8 miles west of the bridge over North Fork American River, 0.6 mi. (airline) east of I-80 at Colfax"	"fb702600-a84e-11de-978d-b8a03c50a862"	39.09556	-120.93917	NA	NA	NA	NA	NA	NA	2013-04-18 02:00:00	18	4	2013	5274945	5274945	"PRESERVED_SPECIMEN"	"UCR"	"VascularPlants"	"UCR250652"	"20372"	NA	"CC_BY_NC_4_0"	NA	"George K. Helmkamp, Mary Alice Barnes"	NA	NA	2017-10-29 02:14:00	NA	"COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
1663185907	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR250342&related=yes"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium calirhiza"	NA	"SPECIES"	"Polypodium calirhiza S.A. Whitmore & A. R. Smith"	"US"	"Northern Sierra Nevada Mtns Foothills, Yankee Jim Road, 2.4 miles east of its junction with Canyon Way, 2.5 mi. ENE (78 deg. ) of Weimar"	"fb702600-a84e-11de-978d-b8a03c50a862"	39.04472	-120.92778	NA	NA	NA	NA	NA	NA	2013-04-18 02:00:00	18	4	2013	5274945	5274945	"PRESERVED_SPECIMEN"	"UCR"	"VascularPlants"	"UCR250342"	"20367"	NA	"CC_BY_NC_4_0"	NA	"George K. Helmkamp, Mary Alice Barnes"	NA	NA	2017-10-29 02:14:00	NA	"COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
1663174447	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR235583&related=yes"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium calirhiza"	NA	"SPECIES"	"Polypodium calirhiza S.A. Whitmore & A. R. Smith"	"US"	"Northern Sierra Nevada Mountains Foothills, Forebay Road north of Pollock Pines, at the south side of the bridge over the South Fork American River"	"fb702600-a84e-11de-978d-b8a03c50a862"	38.79306	-120.62667	NA	NA	NA	NA	NA	NA	2012-05-03 02:00:00	3	5	2012	5274945	5274945	"PRESERVED_SPECIMEN"	"UCR"	"VascularPlants"	"UCR235583"	"18900"	NA	"CC_BY_NC_4_0"	NA	"George K. Helmkamp, E. A. Helmkamp"	NA	NA	2017-10-29 02:14:00	NA	"COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
1663159615	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR217147&related=yes"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium calirhiza"	NA	"SPECIES"	"Polypodium calirhiza S.A. Whitmore & A. R. Smith"	"US"	"Sierra Nevada Mountains Foothills, Happy Valley Road, 1.1 mi. NE (69 deg. ) of Somerset, just west of the bridge over the Cosumnes River"	"fb702600-a84e-11de-978d-b8a03c50a862"	38.65361	-120.66611	NA	NA	NA	NA	NA	NA	2010-05-14 02:00:00	14	5	2010	5274945	5274945	"PRESERVED_SPECIMEN"	"UCR"	"VascularPlants"	"UCR217147"	"16039"	NA	"CC_BY_NC_4_0"	NA	"George K. Helmkamp, E. A. Helmkamp"	NA	NA	2017-10-29 02:14:00	NA	"COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
1663151506	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR207867&related=yes"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium calirhiza"	NA	"SPECIES"	"Polypodium calirhiza S.A. Whitmore & A. R. Smith"	"US"	"Sierra Nevada Mountains Foothills, hiking trail starting north of CA-49, 3.5 miles north of CA-50 in Placerville"	"fb702600-a84e-11de-978d-b8a03c50a862"	38.76333	-120.85278	NA	NA	NA	NA	NA	NA	2009-05-14 02:00:00	14	5	2009	5274945	5274945	"PRESERVED_SPECIMEN"	"UCR"	"VascularPlants"	"UCR207867"	"14695"	NA	"CC_BY_NC_4_0"	NA	"George K. Helmkamp, E. A. Helmkamp"	NA	NA	2017-10-29 02:14:00	NA	"COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
1663150528	"4fa894f4-b6c6-4ec0-b816-9bb03b3ca106"	"http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR206573&related=yes"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium calirhiza"	NA	"SPECIES"	"Polypodium calirhiza S.A. Whitmore & A. R. Smith"	"US"	"Northern Sierra Nevada Mtns. Foothills, Rock Creek Road, 1.4 miles northeast of its junction with CA-193"	"fb702600-a84e-11de-978d-b8a03c50a862"	38.77111	-120.80139	NA	NA	NA	NA	NA	NA	2009-01-28 01:00:00	28	1	2009	5274945	5274945	"PRESERVED_SPECIMEN"	"UCR"	"VascularPlants"	"UCR206573"	"14312"	NA	"CC_BY_NC_4_0"	NA	"George K. Helmkamp, E. A. Helmkamp"	NA	NA	2017-10-29 02:14:00	NA	"COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID"
