gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1699387545	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8631147	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium glycyrrhiza		SPECIES	Polypodium glycyrrhiza D. C. Eat.	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.492232	-123.630438	100.0						2017-10-30T16:26Z	30	10	2017	7969833	7969833	HUMAN_OBSERVATION	iNaturalist	Observations	8631147			CC_BY_NC_4_0	Ken Chamberlain	Ken Chamberlain			2017-11-06T21:39Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1699385398	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8624839	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium glycyrrhiza		SPECIES	Polypodium glycyrrhiza D. C. Eat.	CA		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.524802	-123.507818	65.0						2017-10-29T16:13Z	29	10	2017	7969833	7969833	HUMAN_OBSERVATION	iNaturalist	Observations	8624839			CC_BY_NC_4_0	Thomas Barbin	Thomas Barbin			2017-11-06T21:39Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1699384286	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8622004	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium glycyrrhiza		SPECIES	Polypodium glycyrrhiza D. C. Eat.	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.466417	-122.652179	20.0						2017-10-30T15:57Z	30	10	2017	7969833	7969833	HUMAN_OBSERVATION	iNaturalist	Observations	8622004			CC_BY_NC_4_0	Jeffrey Lee	Jeffrey Lee			2017-11-06T21:39Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1699381211	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8610861	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium glycyrrhiza		SPECIES	Polypodium glycyrrhiza D. C. Eat.	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.838058	-123.304192							2017-10-24T19:29Z	24	10	2017	7969833	7969833	HUMAN_OBSERVATION	iNaturalist	Observations	8610861			CC_BY_NC_4_0	Evan Centanni	Evan Centanni			2017-11-06T21:39Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1677349575	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8558081	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium glycyrrhiza		SPECIES	Polypodium glycyrrhiza D. C. Eat.	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.054878	-123.776767							2017-10-24T13:54Z	24	10	2017	7969833	7969833	HUMAN_OBSERVATION	iNaturalist	Observations	8558081			CC_BY_NC_4_0	John Brew	John Brew			2017-11-02T02:36Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1677349559	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8557099	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium glycyrrhiza		SPECIES	Polypodium glycyrrhiza D. C. Eat.	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.073483	-123.773478							2017-10-24T12:06Z	24	10	2017	7969833	7969833	HUMAN_OBSERVATION	iNaturalist	Observations	8557099			CC_BY_NC_4_0	John Brew	John Brew			2017-11-02T02:36Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1677348525	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8554504	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium glycyrrhiza		SPECIES	Polypodium glycyrrhiza D. C. Eat.	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.32086	-122.665138							2017-10-24T02:35Z	24	10	2017	7969833	7969833	HUMAN_OBSERVATION	iNaturalist	Observations	8554504			CC_BY_NC_4_0	Mart Hughes	Mart Hughes			2017-11-02T02:36Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1677340873	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8527899	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium glycyrrhiza		SPECIES	Polypodium glycyrrhiza D. C. Eat.	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.682091	-122.332696	180.0						2017-10-23T18:57Z	23	10	2017	7969833	7969833	HUMAN_OBSERVATION	iNaturalist	Observations	8527899			CC_BY_NC_4_0	Alex Goodfriend	Alex Goodfriend			2017-11-02T02:36Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1677322585	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8472268	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium glycyrrhiza		SPECIES	Polypodium glycyrrhiza D. C. Eat.	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.218961	-122.156146	30.0						2017-09-17T16:08Z	17	9	2017	7969833	7969833	HUMAN_OBSERVATION	iNaturalist	Observations	8472268			CC_BY_NC_4_0	momageddon	momageddon			2017-11-02T02:35Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1677314405	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8445835	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium glycyrrhiza		SPECIES	Polypodium glycyrrhiza D. C. Eat.	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.656269	-123.070825							2017-10-04T20:28Z	4	10	2017	7969833	7969833	HUMAN_OBSERVATION	iNaturalist	Observations	8445835			CC_BY_NC_4_0	Ryan McMinds	Ryan McMinds			2017-11-02T02:35Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84
