"gbifid"	"datasetkey"	"occurrenceid"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"infraspecificepithet"	"taxonrank"	"scientificname"	"countrycode"	"locality"	"publishingorgkey"	"decimallatitude"	"decimallongitude"	"coordinateuncertaintyinmeters"	"coordinateprecision"	"elevation"	"elevationaccuracy"	"depth"	"depthaccuracy"	"eventdate"	"day"	"month"	"year"	"taxonkey"	"specieskey"	"basisofrecord"	"institutioncode"	"collectioncode"	"catalognumber"	"recordnumber"	"identifiedby"	"license"	"rightsholder"	"recordedby"	"typestatus"	"establishmentmeans"	"lastinterpreted"	"mediatype"	"issue"
1699387545	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/8631147"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium glycyrrhiza"	NA	"SPECIES"	"Polypodium glycyrrhiza D. C. Eat."	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	45.492232	-123.630438	100	NA	NA	NA	NA	NA	2017-10-30 16:26:00	30	10	2017	7969833	7969833	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"8631147"	NA	NA	"CC_BY_NC_4_0"	"Ken Chamberlain"	"Ken Chamberlain"	NA	NA	2017-11-06 21:39:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1699385398	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/8624839"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium glycyrrhiza"	NA	"SPECIES"	"Polypodium glycyrrhiza D. C. Eat."	"CA"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	48.524802	-123.507818	65	NA	NA	NA	NA	NA	2017-10-29 16:13:00	29	10	2017	7969833	7969833	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"8624839"	NA	NA	"CC_BY_NC_4_0"	"Thomas Barbin"	"Thomas Barbin"	NA	NA	2017-11-06 21:39:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1699384286	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/8622004"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium glycyrrhiza"	NA	"SPECIES"	"Polypodium glycyrrhiza D. C. Eat."	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	45.466417	-122.652179	20	NA	NA	NA	NA	NA	2017-10-30 15:57:00	30	10	2017	7969833	7969833	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"8622004"	NA	NA	"CC_BY_NC_4_0"	"Jeffrey Lee"	"Jeffrey Lee"	NA	NA	2017-11-06 21:39:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1699381211	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/8610861"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium glycyrrhiza"	NA	"SPECIES"	"Polypodium glycyrrhiza D. C. Eat."	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	44.838058	-123.304192	NA	NA	NA	NA	NA	NA	2017-10-24 19:29:00	24	10	2017	7969833	7969833	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"8610861"	NA	NA	"CC_BY_NC_4_0"	"Evan Centanni"	"Evan Centanni"	NA	NA	2017-11-06 21:39:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1677349575	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/8558081"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium glycyrrhiza"	NA	"SPECIES"	"Polypodium glycyrrhiza D. C. Eat."	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	48.054878	-123.776767	NA	NA	NA	NA	NA	NA	2017-10-24 13:54:00	24	10	2017	7969833	7969833	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"8558081"	NA	NA	"CC_BY_NC_4_0"	"John Brew"	"John Brew"	NA	NA	2017-11-02 02:36:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1677349559	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/8557099"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium glycyrrhiza"	NA	"SPECIES"	"Polypodium glycyrrhiza D. C. Eat."	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	48.073483	-123.773478	NA	NA	NA	NA	NA	NA	2017-10-24 12:06:00	24	10	2017	7969833	7969833	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"8557099"	NA	NA	"CC_BY_NC_4_0"	"John Brew"	"John Brew"	NA	NA	2017-11-02 02:36:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1677348525	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/8554504"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium glycyrrhiza"	NA	"SPECIES"	"Polypodium glycyrrhiza D. C. Eat."	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	45.32086	-122.665138	NA	NA	NA	NA	NA	NA	2017-10-24 02:35:00	24	10	2017	7969833	7969833	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"8554504"	NA	NA	"CC_BY_NC_4_0"	"Mart Hughes"	"Mart Hughes"	NA	NA	2017-11-02 02:36:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1677340873	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/8527899"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium glycyrrhiza"	NA	"SPECIES"	"Polypodium glycyrrhiza D. C. Eat."	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	47.682091	-122.332696	180	NA	NA	NA	NA	NA	2017-10-23 18:57:00	23	10	2017	7969833	7969833	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"8527899"	NA	NA	"CC_BY_NC_4_0"	"Alex Goodfriend"	"Alex Goodfriend"	NA	NA	2017-11-02 02:36:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1677322585	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/8472268"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium glycyrrhiza"	NA	"SPECIES"	"Polypodium glycyrrhiza D. C. Eat."	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	48.218961	-122.156146	30	NA	NA	NA	NA	NA	2017-09-17 16:08:00	17	9	2017	7969833	7969833	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"8472268"	NA	NA	"CC_BY_NC_4_0"	"momageddon"	"momageddon"	NA	NA	2017-11-02 02:35:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED"
1677314405	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"https://www.inaturalist.org/observations/8445835"	"Plantae"	"Tracheophyta"	"Polypodiopsida"	"Polypodiales"	"Polypodiaceae"	"Polypodium"	"Polypodium glycyrrhiza"	NA	"SPECIES"	"Polypodium glycyrrhiza D. C. Eat."	"US"	NA	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	44.656269	-123.070825	NA	NA	NA	NA	NA	NA	2017-10-04 20:28:00	4	10	2017	7969833	7969833	"HUMAN_OBSERVATION"	"iNaturalist"	"Observations"	"8445835"	NA	NA	"CC_BY_NC_4_0"	"Ryan McMinds"	"Ryan McMinds"	NA	NA	2017-11-02 02:35:00	"STILLIMAGE"	"GEODETIC_DATUM_ASSUMED_WGS84"
