gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1676191774	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	4538be76-0a4d-41c9-9357-11b9081f3b37	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Snow Creek, San Jacinto Mt. -	fb702600-a84e-11de-978d-b8a03c50a862	33.8331	-116.6999	1600.0										5274964	5274964	PRESERVED_SPECIMEN	UCSC	VascularPlants	UCSC1088	2		CC_BY_NC_4_0		Peter Kamb			2017-10-29T01:57Z		RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
1663222220	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR94224&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	San Bernardino Mtns, Castle Rock Trail from Hwy 18 at Big Bear Lake to Bluff Lake	fb702600-a84e-11de-978d-b8a03c50a862	34.23333	-116.96							1996-09-08T02:00Z	8	9	1996	5274964	5274964	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR94224	19518		CC_BY_NC_4_0		A. C. Sanders, MacKay, Thomas, Schultz & Helmkamp			2017-10-29T02:15Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663184810	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR24907&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	San Jacinto Mountains, Mt. San Jacinto Wilderness Area. east of Saddle Junction at the head of Tahquitz Creek, c. 2 mi NE of Idyllwild	fb702600-a84e-11de-978d-b8a03c50a862	33.775	-116.66667							1980-08-21T02:00Z	21	8	1980	5274964	5274964	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR24907	1775		CC_BY_NC_4_0		A. C. Sanders			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663174504	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR235593&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Northern Sierra Nevada Mountains Foothills, Lake Clementine Road, 1.2 miles west of its junction with Foresthill Road, 0.3 air mi. SE (123 deg. ) of Clementine Dam on the American River	fb702600-a84e-11de-978d-b8a03c50a862	38.93389	-121.01972							2012-05-05T02:00Z	5	5	2012	5274964	5274964	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR235593	18924		CC_BY_NC_4_0		George K. Helmkamp, E. A. Helmkamp			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663172480	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR23346&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	San Jacinto Mountains, Devil\'s Slide Trail above Idyllwild.	fb702600-a84e-11de-978d-b8a03c50a862	33.775	-116.675							1936-09-15T01:00Z	15	9	1936	5274964	5274964	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR23346	2512		CC_BY_NC_4_0		John C. Roos			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663172462	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR23345&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	San Bernardino Mountains, Fish Creek, upper Santa Ana River	fb702600-a84e-11de-978d-b8a03c50a862	34.16861	-116.81639							1937-07-23T01:00Z	23	7	1937	5274964	5274964	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR23345	1765		CC_BY_NC_4_0		John C. Roos			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663150779	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR206885&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Northern Sierra Nevada Mtns. Foothills, along Rock Creek Road, 5.4 miles west of Finnon Lake; beside Rock Creek	fb702600-a84e-11de-978d-b8a03c50a862	38.79556	-120.77639							2009-03-07T01:00Z	7	3	2009	5274964	5274964	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR206885	14349		CC_BY_NC_4_0		George K. Helmkamp, E. A. Helmkamp			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663150604	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR206693&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Northern Sierra Nevada Mtns. Foothills, Sand Ridge Road 4.3 miles east of its junction with CA-49	fb702600-a84e-11de-978d-b8a03c50a862	38.59583	-120.78472							2009-03-05T01:00Z	5	3	2009	5274964	5274964	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR206693	14334		CC_BY_NC_4_0		George K. Helmkamp, E. A. Helmkamp			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1662970402	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?SJSU12726&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	W end of Sunnyside Bench just SE of Yosemite Falls, Yosemite Valley	fb702600-a84e-11de-978d-b8a03c50a862									1947-06-04T02:00Z	4	6	1947	5274964	5274964	PRESERVED_SPECIMEN	SJSU	VascularPlants	SJSU12726	5516		CC_BY_NC_4_0		C. W. Sharsmith			2017-10-05T12:16Z		
1662955435	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?SDSU3555&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium	hesperium	VARIETY	Polypodium vulgare var. hesperium (Maxon) A. Nels. & J.F.Macbr.	US	Tahquitz Peak, San Jacinto Mts. North facing rock crevices	fb702600-a84e-11de-978d-b8a03c50a862	33.75549	-116.67703							1931-10-03T01:00Z	3	10	1931	5274966	5274964	PRESERVED_SPECIMEN	SDSU	VascularPlants	SDSU3555	194		CC_BY_NC_4_0		Louis C. Wheeler			2017-10-05T12:15Z		GEODETIC_DATUM_ASSUMED_WGS84
