gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1697950727	7efaf3c5-bd1a-42b9-852e-fd39fbc6c5b8	UWPG:321462	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	CA	Ste. Theresa	0bcc0651-08b6-4562-85e1-985aae8a07a1	53.832766	-94.849654							1990-09-11T02:00Z	11	9	1990	5274947	5274947	PRESERVED_SPECIMEN	University of Winnipeg	UWPG	070035		R.J.S.	CC0_1_0	University of Winnipeg	D. Kunec; G. Hart			2017-11-03T15:26Z		
1697950652	7efaf3c5-bd1a-42b9-852e-fd39fbc6c5b8	UWPG:321463	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	CA	Nr. entrance Sunset Beach, Hecla Prov. Park	0bcc0651-08b6-4562-85e1-985aae8a07a1									2005-08-08T02:00Z	8	8	2005	5274947	5274947	PRESERVED_SPECIMEN	University of Winnipeg	UWPG	070036		R.J.S.	CC0_1_0	University of Winnipeg	R.J. Staniforth; P. Scott			2017-11-03T15:26Z		
1697318100	902c8fe7-8f38-45b0-854e-c324fed36303	MW0168244	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	MN		f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc													5274947	5274947	PRESERVED_SPECIMEN	Moscow State University	MW	MW0168244			CC_BY_4_0	Moscow State University				2017-11-09T16:53Z	STILLIMAGE	
1697318097	902c8fe7-8f38-45b0-854e-c324fed36303	MW0168243	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	MN		f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc													5274947	5274947	PRESERVED_SPECIMEN	Moscow State University	MW	MW0168243			CC_BY_4_0	Moscow State University				2017-11-09T16:53Z	STILLIMAGE	
1697318087	902c8fe7-8f38-45b0-854e-c324fed36303	MW0168253	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	MN		f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc													5274947	5274947	PRESERVED_SPECIMEN	Moscow State University	MW	MW0168253			CC_BY_4_0	Moscow State University				2017-11-09T16:53Z	STILLIMAGE	
1697318086	902c8fe7-8f38-45b0-854e-c324fed36303	MW0168245	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	MN		f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc													5274947	5274947	PRESERVED_SPECIMEN	Moscow State University	MW	MW0168245			CC_BY_4_0	Moscow State University				2017-11-09T16:53Z	STILLIMAGE	
1697318075	902c8fe7-8f38-45b0-854e-c324fed36303	MW0168252	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	MN		f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc													5274947	5274947	PRESERVED_SPECIMEN	Moscow State University	MW	MW0168252			CC_BY_4_0	Moscow State University				2017-11-09T16:53Z	STILLIMAGE	
1697318074	902c8fe7-8f38-45b0-854e-c324fed36303	MW0168246	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	MN		f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc													5274947	5274947	PRESERVED_SPECIMEN	Moscow State University	MW	MW0168246			CC_BY_4_0	Moscow State University				2017-11-09T16:53Z	STILLIMAGE	
1697318066	902c8fe7-8f38-45b0-854e-c324fed36303	MW0168241	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	MN		f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc													5274947	5274947	PRESERVED_SPECIMEN	Moscow State University	MW	MW0168241			CC_BY_4_0	Moscow State University				2017-11-09T16:53Z	STILLIMAGE	
1697318058	902c8fe7-8f38-45b0-854e-c324fed36303	MW0168249	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	MN		f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc													5274947	5274947	PRESERVED_SPECIMEN	Moscow State University	MW	MW0168249			CC_BY_4_0	Moscow State University				2017-11-09T16:53Z	STILLIMAGE	
